word,spam,ham
just,78.000000,292.000000
free,228.000000,60.000000
know,25.000000,236.000000
like,13.000000,232.000000
good,12.000000,232.000000
day,26.000000,215.000000
got,7.000000,233.000000
come,2.000000,228.000000
time,18.000000,201.000000
love,10.000000,198.000000
send,70.000000,129.000000
text,126.000000,69.000000
want,30.000000,165.000000
txt,166.000000,14.000000
going,4.000000,169.000000
need,10.000000,158.000000
don,11.000000,156.000000
home,2.000000,165.000000
stop,126.000000,37.000000
lor,0.000000,162.000000
today,21.000000,139.000000
sorry,3.000000,157.000000
reply,104.000000,44.000000
dont,12.000000,132.000000
mobile,129.000000,15.000000
tell,16.000000,123.000000
new,69.000000,67.000000
later,0.000000,135.000000
pls,11.000000,123.000000
think,4.000000,128.000000
did,2.000000,129.000000
phone,46.000000,81.000000
week,60.000000,66.000000
dear,16.000000,109.000000
night,6.000000,109.000000
great,11.000000,104.000000
msg,56.000000,57.000000
hope,4.000000,109.000000
claim,112.000000,0.000000
hey,5.000000,107.000000
happy,1.000000,106.000000
wat,1.000000,106.000000
url,98.000000,6.000000
yes,21.000000,82.000000
way,1.000000,102.000000
make,13.000000,88.000000
work,3.000000,97.000000
number,30.000000,67.000000
message,34.000000,62.000000
won,75.000000,19.000000
tomorrow,10.000000,83.000000
prize,92.000000,0.000000
right,3.000000,89.000000
say,0.000000,92.000000
you,7.000000,83.000000
ask,0.000000,89.000000
doing,0.000000,88.000000
said,0.000000,88.000000
cash,76.000000,12.000000
yeah,1.000000,86.000000
really,1.000000,85.000000
amp,0.000000,86.000000
meet,8.000000,75.000000
life,3.000000,79.000000
win,69.000000,11.000000
morning,0.000000,79.000000
let,4.000000,75.000000
babe,8.000000,70.000000
thanks,15.000000,62.000000
cos,0.000000,76.000000
miss,7.000000,69.000000
com,57.000000,17.000000
nokia,71.000000,3.000000
lol,0.000000,73.000000
pick,2.000000,69.000000
sure,0.000000,71.000000
min,43.000000,27.000000
care,5.000000,65.000000
sent,10.000000,60.000000
urgent,63.000000,7.000000
buy,5.000000,62.000000
contact,55.000000,12.000000
wait,2.000000,64.000000
thing,1.000000,62.000000
